wavname,text,score,listener_id,audio type,anchor label,in RELATE dataset,in AudioCaps
/audiocaps/train/8215.wav,A muffled steam engine running as a crowd of people talk followed by muffled steam hissing,1,0000,natural,True,excluded,
/tango/test/102816.wav,A group of people screaming and laughing as firecrackers ignite then explode followed by a muffled explosion,8,0000,tango,False,validation,test
/audioldm2/train/98806.wav,Wind noises with a siren in the background,9,0000,audioldm,False,train,train
/audiocaps/test/106912.wav,An aircraft engine humming followed by plastic clanking then an aircraft engine slowing down,9,0000,natural,False,validation,test
/audioldm/test/106912.wav,An aircraft engine humming followed by plastic clanking then an aircraft engine slowing down,3,0000,audioldm,False,validation,test
/audiocaps/train/67949.wav,Water falls into a pool and frogs croak,10,0000,natural,False,train,train
/audiocaps/test/104477.wav,A muffled steam engine running as a crowd of people talk followed by muffled steam hissing,9,0000,natural,False,test,test
/tango/train/67949.wav,Water falls into a pool and frogs croak,10,0000,tango,False,train,train
/audioldm2/train/67949.wav,Water falls into a pool and frogs croak,2,0000,audioldm,False,train,train
/audioldm2/train/27358.wav,A man speaking followed by quacking,2,0000,audioldm,False,train,train
/audiocaps/train/27358.wav,A man speaking followed by quacking,10,0000,natural,False,train,train
/audioldm2/test/104477.wav,A muffled steam engine running as a crowd of people talk followed by muffled steam hissing,4,0000,audioldm,False,test,test
/tango/train/98806.wav,Wind noises with a siren in the background,10,0000,tango,False,train,train
/audioldm2/test/102816.wav,A group of people screaming and laughing as firecrackers ignite then explode followed by a muffled explosion,8,0000,audioldm,False,validation,test
/tango2/test/106912.wav,An aircraft engine humming followed by plastic clanking then an aircraft engine slowing down,5,0000,tango,False,validation,test
/tango/train/27358.wav,A man speaking followed by quacking,2,0000,tango,False,train,train
/audiocaps/train/63286.wav,An aircraft engine humming followed by plastic clanking then an aircraft engine slowing down,0,0000,natural,True,excluded,
/audiocaps/train/98806.wav,Wind noises with a siren in the background,9,0000,natural,False,train,train
/audiocaps/test/102816.wav,A group of people screaming and laughing as firecrackers ignite then explode followed by a muffled explosion,10,0000,natural,False,validation,test
/audiocaps/test/103506.wav,A group of people screaming and laughing as firecrackers ignite then explode followed by a muffled explosion,0,0000,natural,True,excluded,
/tango/test/104477.wav,A muffled steam engine running as a crowd of people talk followed by muffled steam hissing,8,0000,tango,False,test,test
/tango/train/91139.wav,A woman talks nearby as water pours,8,0001,tango,False,train,train
/tango/train/47371.wav,Birds chirp loudly in the distance followed by a person talking nearby and then more chirping,7,0001,tango,False,train,train
/audioldm/train/101862.wav,Distant speech together with rustling and clanking,9,0001,audioldm,False,train,train
/audiocaps/test/105649.wav,Wind is gusting while a jet engine is running,0,0001,natural,True,excluded,
/audioldm/train/18202.wav,Wind is gusting while a jet engine is running,5,0001,audioldm,False,train,train
