listener_id,question1,question2,question3,question4,question5,question6,question7,question8,question9,question10,question11,question12
10000,6,2,United States,United States,United States,4,2,1,1,1,2,2
10001,2,2,United States,United States,United States,2,2,3,1,2,1,2
10002,2,2,United Kingdom,United Kingdom,United Kingdom,1,1,4,1,1,2,1
10003,4,2,Philippines,Philippines,United Kingdom,3,2,1,1,1,1,1
10004,3,2,United States,United States,United States,4,2,3,1,1,2,2
10005,2,2,American Samoa,American Samoa,American Samoa,3,2,3,2,2,3,2
10006,1,1,United Kingdom,United Kingdom,United Kingdom,2,1,3,2,1,1,2
10007,2,2,United States,United States,United States,5,2,3,1,1,2,2
10008,2,2,Nigeria,Nigeria,United Kingdom,5,2,4,1,1,1,2
10009,5,2,United States,United States,United States,1,1,5,2,1,1,2
10010,5,2,United Kingdom,United Kingdom,United Kingdom,4,3,4,2,1,2,2
10011,5,2,United Kingdom,United Kingdom,United Kingdom,3,2,4,1,3,3,2
10012,5,2,United Kingdom,United Kingdom,United Kingdom,4,5,3,2,1,1,2
10013,2,1,United States,United States,United States,1,1,3,2,1,3,2
10014,4,1,United States,United States,United States,3,2,1,1,1,2,2
10015,2,1,Canada,Canada,United States,6,2,3,1,1,2,2
10016,2,2,United States,United States,United States,1,1,4,2,1,2,2
10017,4,1,United Kingdom,United Kingdom,United Kingdom,1,1,2,1,1,3,2
10018,3,1,United States,United States,United States,6,3,5,1,1,3,2
10019,6,1,United Kingdom,United Kingdom,United Kingdom,6,4,5,2,1,2,2
10020,2,1,United Kingdom,United Kingdom,United Kingdom,3,3,2,2,1,1,2
10021,3,1,Philippines,United States,United States,1,1,2,1,1,2,2
10022,6,1,United Kingdom,United Kingdom,United Kingdom,1,1,5,1,1,2,2
10023,5,2,United States,United States,United States,2,3,3,1,1,3,2
10024,6,1,United Kingdom,United Kingdom,United Kingdom,3,4,2,3,1,2,2
10025,2,1,Nigeria,Nigeria,United States,1,1,5,2,1,1,2
10026,3,2,United States,United States,United States,1,1,5,1,1,2,2
10027,4,1,United States,United States,United States,1,1,1,1,1,1,2
10028,3,1,United Kingdom,United Kingdom,United Kingdom,3,5,4,2,1,3,2
10029,5,3,United States,United States,United States,6,2,2,1,1,2,2
10030,5,2,United States,United States,United States,1,1,1,1,1,3,2
10031,3,1,United Kingdom,United Kingdom,United Kingdom,5,2,3,1,1,2,2
10032,5,1,United Kingdom,United Kingdom,United Kingdom,3,2,2,1,1,2,2
10033,2,1,United States,United States,United States,5,2,1,2,1,2,2
10034,6,2,United Kingdom,United Kingdom,United Kingdom,3,4,3,1,1,2,2
10035,2,2,United States,United States,United States,1,1,3,1,1,3,2
10036,2,2,United States,United States,United States,4,4,4,2,1,1,2
10037,5,1,United States,United States,United States,6,5,2,2,1,2,2
10038,2,1,United States,United States,United States,1,1,4,2,1,2,2
10039,2,2,United States,Nigeria,United States,2,4,3,2,1,1,2
10040,3,1,United Kingdom,United Kingdom,United Kingdom,4,2,3,1,1,2,2
10041,3,1,United States,Ghana,United States,4,2,1,1,1,1,1
10042,2,1,United States,United States,United States,1,1,1,2,1,2,2
10043,3,2,United Kingdom,United Kingdom,United Kingdom,2,2,1,1,1,2,2
10044,2,2,United Kingdom,United Kingdom,United Kingdom,1,1,4,2,1,2,2
10045,3,1,United States,United States,United States,1,1,2,2,1,1,2
10046,3,1,United Kingdom,Kenya,United Kingdom,3,4,4,1,2,1,1
10047,4,1,United States,United States,United States,1,1,3,1,1,2,2
10048,3,1,United States,United States,United States,6,4,5,2,2,2,2
10049,2,2,United States,United States,United States,4,4,3,1,2,2,2
10050,5,1,United Kingdom,United Kingdom,United Kingdom,2,1,2,1,1,2,2
10051,2,2,United States,United States,United States,1,1,3,2,1,3,2
10052,4,1,United States,United States,United States,5,2,4,2,1,1,1
10053,2,1,United States,United States,United States,5,2,3,1,2,3,1
10054,5,2,United Kingdom,United Kingdom,United Kingdom,4,3,3,1,2,3,2
10055,2,1,United Kingdom,United Kingdom,United Kingdom,2,1,1,1,1,1,2
